Member_ID,Name,Age,Gender,Address,Phone_Number,Membership_Type,Join_Date,Last_Visit_Date,Favorite_Exercise,Avg_Workout_Duration_Min,Avg_Calories_Burned,Total_Weight_Lifted_kg,Visits_Per_Month,Churn
GYM100014,Dylan Miller,34.0,Female,"413 Valdez Points, Lake Ashleymouth, DE 71167",+1-283-270-2228x05258,Monthly,2026-01-10,2026-05-13,HIIT,74.0,498.0,7656,16.8,No
GYM100015,Brian Ramirez,54.0,Female,"283 Thomas Run Suite 264, Mccallville, NH 65565",(718)679-6221x6382,Monthly,2024-05-11,2026-04-13,Cardio,65.0,395.0,7818,11.1,No
GYM100016,Holly Wood,34.0,Male,"067 Watson Forges Apt. 101, South Daniel, DC 33214",001-953-233-0764,Quarterly,2024-11-07,2026-05-24,Cardio,65.0,368.0,4757,10.4,No
GYM100017,Derek Zuniga,25.0,Female,"0290 Barnett Union, Port Paulton, CO 03678",407-300-4999x1736,Quarterly,2023-11-08,2026-02-15,HIIT,52.0,367.0,33249,11.0,Yes
GYM100018,Lisa Jackson,35.0,Male,"73469 Joseph Via, Traceyside, MA 85272",001-890-820-8191x81823,Monthly,2023-12-21,2026-05-18,Weightlifting,84.0,683.0,52229,15.6,No
GYM100019,Carla Gray,25.0,Female,"3175 Ronald Oval, Fisherview, OR 89663",835.680.7355,Quarterly,2026-01-09,2026-04-16,Cardio,67.0,511.0,1077,6.9,No
GYM100020,Margaret Hawkins DDS,43.0,Male,"43922 Jaime Route Suite 317, Mckinneyfurt, LA 90807",(916)947-4643x372,Quarterly,2026-02-03,2026-04-23,Weightlifting,,460.0,8522,15.1,No
GYM100021,Patty Perez,24.0,Female,"6103 Sanders Gateway Suite 661, West Amber, AL 26265",(321)760-7841x25036,Yearly,2024-06-11,2026-05-16,Cycling,39.0,273.0,6411,8.2,No
GYM100022,Ethan Adams,58.0,Female,"3391 Chen Forest Suite 167, Port Scottchester, KS 97122",(941)338-4193x292,Yearly,2026-05-10,2026-05-11,Cardio,60.0,471.0,411,18.7,No
GYM100023,Tommy Walter,46.0,Female,"PSC 1571, Box 4993, APO AE 25045",+1-976-418-2970x426,Quarterly,2023-12-22,2026-04-30,Swimming,50.0,405.0,9345,8.6,Yes
GYM100024,Matthew Foster,21.0,Female,"129 Jasmine Estate Apt. 110, South Sheila, KY 62490",001-673-937-2748x73096,Monthly,2025-05-29,2026-04-25,HIIT,64.0,572.0,16900,15.4,No
GYM100025,Judy Baker,35.0,Male,"767 Jeffrey Mountain, Garrisontown, PW 34143",660-409-0071,Quarterly,2024-09-11,2026-05-24,Yoga,98.0,815.0,2039,15.7,No
GYM100026,Justin Baker,19.0,Male,"57082 Glenn Dale, Youngmouth, LA 73738",397-931-5818x94957,Quarterly,2025-01-09,2026-02-26,Cycling,78.0,379.0,1845,2.8,Yes
GYM100027,Stephanie Ross,31.0,Male,"658 William Lakes Suite 304, Thompsonfort, NH 56969",6114270558,Yearly,2024-04-12,2026-04-30,Yoga,68.0,526.0,24908,18.6,No
GYM100028,Zachary Hicks,53.0,Male,"32602 Cox Trail Suite 611, Lake Joannstad, MD 96440",397.502.7675x0328,Monthly,2025-09-14,2026-04-08,Weightlifting,70.0,505.0,7184,9.1,Yes
GYM100029,Anthony Rodriguez,17.0,Male,"70325 Barrett Trace Suite 606, Nicholastown, IA 48681",(243)907-8043,Yearly,2023-11-03,2026-05-04,Pilates,106.0,718.0,17567,17.9,No
GYM100030,Rebecca Henderson,21.0,Female,"68991 Jackson Crossing, New Garrett, MD 27415",(759)463-4867x5252,Quarterly,2024-01-18,2026-05-31,Cycling,66.0,511.0,3585,7.1,Yes
GYM100031,James Ferrell,31.0,Female,"3610 Tammy Cliffs Apt. 031, Gilbertstad, LA 74495",(890)560-5896,Quarterly,2024-06-21,2026-05-23,Weightlifting,100.0,624.0,83207,25.7,No
GYM100032,Tricia Valencia,35.0,Female,"40389 Nixon Crest Suite 104, East Erinfurt, IN 66649",001-905-317-2418,Quarterly,2025-07-07,2026-05-17,Yoga,75.0,499.0,4768,9.7,No
GYM100033,Nathan Maldonado,33.0,Male,"9748 Houston Fall, Johnview, IA 01239",4343896928,Quarterly,2025-12-21,2026-06-09,Swimming,50.0,340.0,1092,5.1,No
GYM100034,Debra Davidson,20.0,Male,"71665 Thomas Skyway, Lauriebury, SC 55475",(895)466-2316,Quarterly,2025-05-23,2026-06-07,Cardio,72.0,408.0,5108,10.1,No
GYM100035,Jeffrey Chavez,16.0,Male,"1952 Thomas Circle, Angelaport, NV 07028",2907866186,Monthly,2025-05-18,2025-12-15,Cardio,43.0,149.0,2063,3.9,Yes
GYM100036,Sherri Baker,48.0,Female,"734 Bell Circles Apt. 308, Andrewmouth, AR 75514",849-761-6644,Quarterly,2026-01-19,2026-05-29,Weightlifting,39.0,220.0,3407,4.3,Yes
GYM100037,Cassandra Gaines,38.0,Female,"090 Herrera Ports, West Mariaberg, WA 63884",332-771-3427x34008,Quarterly,2025-03-28,2026-04-29,Cycling,90.0,869.0,8884,21.3,No
GYM100038,Elizabeth Fowler,19.0,Male,"4075 Robert Bridge, Nancymouth, UT 77507",(544)412-1740x95861,Monthly,2026-03-14,2026-03-15,Cardio,77.0,678.0,1285,8.0,Yes
GYM100039,Brittany Farmer,32.0,Male,"6862 Craig Plains Suite 653, Lake Lucasside, NE 34799",+1-992-806-0069,Monthly,2025-02-02,2026-05-10,Weightlifting,86.0,741.0,14291,9.0,Yes
GYM100040,Paula Moreno,30.0,Male,"11834 Anna Oval Suite 216, Jordanview, MD 76716",001-944-738-5870x201,Monthly,2025-01-01,2026-05-15,HIIT,76.0,294.0,17223,11.8,No
GYM100041,Fred Smith,19.0,Male,"97133 Heather Rue, Feliciaton, NV 79793",001-579-476-7067x32322,Monthly,2024-06-18,2026-06-05,Swimming,74.0,517.0,8164,18.6,No
GYM100042,Sherry Decker,26.0,Other,"PSC 7954, Box 8102, APO AA 26472",001-814-429-3861x4673,Monthly,2025-06-06,2025-12-22,Weightlifting,62.0,471.0,13022,10.6,Yes
GYM100043,Anthony Humphrey,16.0,Male,"65629 Obrien Via, Hunterfurt, MN 86197",(567)838-6622,Monthly,2024-12-27,2026-03-09,Weightlifting,55.0,429.0,8975,5.9,Yes
GYM100044,Angelica Tucker,29.0,Female,"05417 Osborne Point Apt. 430, East Leslie, DC 30493",(543)589-5689x3917,Yearly,2025-03-24,2026-05-09,Weightlifting,64.0,363.0,12403,6.6,Yes
GYM100045,Philip Cannon,32.0,Male,"390 Kendra Stream Apt. 888, Lake Oliviaberg, IA 79030",001-798-741-1129x707,Quarterly,2026-04-28,2026-05-01,Weightlifting,54.0,422.0,1222,5.3,Yes
GYM100046,John Pierce,16.0,Male,"023 Alexandra Tunnel, Morganfurt, IN 49422",485-446-5246x1222,Monthly,2025-05-25,2026-05-03,Cardio,85.0,464.0,3274,20.2,No
GYM100047,Shane Henderson,29.0,Female,"3933 Charles Cove, North Mariafort, CT 49000",969.628.7099,Monthly,2026-01-01,2026-05-22,Yoga,92.0,719.0,4955,20.2,No
GYM100048,Joshua Blair,32.0,Male,"22298 Cynthia Ports Suite 831, Port Mitchellhaven, NM 22219",(920)345-0733x8153,Yearly,2023-11-13,2026-03-26,Weightlifting,43.0,360.0,114,0.0,Yes
GYM100049,Eric Carney,16.0,Male,"42406 Medina Key Suite 718, East Jennifer, HI 50003",(391)489-0811,Monthly,2023-08-28,2026-03-10,Weightlifting,51.0,368.0,33536,9.6,Yes
GYM100050,Jessica Holmes,51.0,Female,"44938 Nguyen Mission Suite 468, South Jack, CT 19114",241-678-1831x6783,Monthly,2026-01-22,2026-04-19,Swimming,105.0,964.0,4443,19.4,No
GYM100051,Danny Morgan,46.0,Male,"Unit 4216 Box 9244, DPO AP 85667",(709)727-8165x94118,Monthly,2024-07-26,2026-04-26,Weightlifting,77.0,433.0,20619,12.6,No
GYM100052,Crystal Robinson,48.0,Female,"Unit 8192 Box 9177, DPO AA 35562",001-223-812-0209,Yearly,2023-09-06,2026-05-23,Cardio,72.0,588.0,12434,13.1,No
GYM100053,Mark Perez,20.0,Male,"449 Smith Lodge Suite 223, East Yvonne, AK 12430",8628815175,Monthly,2024-04-13,2026-05-05,Weightlifting,90.0,583.0,53241,18.5,No
GYM100054,Shannon Jones,50.0,Female,"592 Mueller Stravenue Suite 573, Charlesville, CT 34074",342-317-9898x2646,Monthly,2024-08-13,2026-05-27,HIIT,108.0,710.0,36227,11.3,No
GYM100055,Michael Lewis,28.0,Male,"4550 Oliver Inlet, Ericside, OH 72717",(804)444-6076x676,Monthly,2025-08-30,2026-05-12,Yoga,68.0,432.0,2458,10.6,No
GYM100056,Timothy Duncan,51.0,Male,"USS West, FPO AP 32211",+1-277-865-3921x3317,Yearly,2024-06-07,2026-05-12,Cardio,59.0,,2906,5.9,No
GYM100057,Richard Aguirre,33.0,Other,"42826 Kevin Brook, Port Vanessaland, ND 42931",543-445-3429,Yearly,2026-02-14,2026-04-28,Pilates,80.0,398.0,2295,15.8,No
GYM100058,Brent Jordan,25.0,Male,"PSC 2190, Box 6211, APO AA 88933",613.565.9931x5025,Monthly,2023-07-04,2026-04-13,Cardio,80.0,440.0,11228,10.1,No
GYM100059,John Daniel,25.0,Female,"19205 Sara Islands Apt. 188, Garciamouth, LA 23765",8476990994,Monthly,2024-07-27,2026-04-20,HIIT,70.0,309.0,19178,8.4,No
GYM100060,Victoria Garcia,50.0,Male,"66788 Tracy Ramp Apt. 323, Bradleyport, PR 67997",7134374327,Yearly,2025-11-03,2026-04-23,CrossFit,85.0,664.0,20427,22.2,No
GYM100061,Gerald Hensley,45.0,Female,"48715 James Well, New Elizabeth, UT 87636",733-836-1150,Yearly,2025-04-12,2026-05-12,Weightlifting,51.0,321.0,11971,6.2,Yes
GYM100062,Connor West,20.0,Male,"166 Walker Summit Apt. 682, North Claudiaport, SD 11267",001-820-917-4246x661,Monthly,2025-06-20,2026-04-23,CrossFit,49.0,438.0,5373,3.0,Yes
GYM100063,Donald Wright,32.0,Male,"183 Smith Hill, Christinemouth, VT 17523",318.753.3343x932,Monthly,2025-12-25,2026-04-14,Pilates,62.0,428.0,152,2.2,Yes
GYM100064,Jessica Callahan,20.0,Female,"2570 House Coves, West Markfurt, VI 27662",728-952-2419,Yearly,2024-03-20,2026-06-08,Cycling,59.0,569.0,4609,5.7,No
GYM100065,Amber Kidd,40.0,Male,"246 Long Harbors Suite 307, South Makaylaview, ME 80361",001-269-997-4085x1554,Yearly,2023-07-24,2026-04-24,Cycling,98.0,595.0,13934,14.3,No
GYM100066,Tracy House,23.0,Female,"51616 Parrish Dale, Jamestown, ID 06198",295.565.7001x0295,Yearly,2025-11-30,2026-05-05,Pilates,62.0,380.0,0,15.4,No
GYM100067,Carol Tucker,30.0,Male,"495 Hannah Street, Lake Cindyland, NM 53324",(691)439-3191,Yearly,2025-08-03,2026-05-07,Pilates,77.0,431.0,3537,12.6,No
GYM100068,James Brown,31.0,Male,"9727 Finley Greens Apt. 392, Jefferybury, WY 56734",5249595630,Quarterly,2024-12-27,2026-02-14,Pilates,74.0,577.0,4336,8.5,Yes
GYM100069,William Baker,53.0,Male,"8054 Pierce Rue Apt. 264, Lake Kelly, GA 46918",(573)938-1277x46302,Monthly,2023-08-31,2026-04-13,CrossFit,83.0,580.0,114032,21.0,No
GYM100070,Jordan Henderson,17.0,Male,"41906 Kayla Turnpike, Velasquezstad, PR 36151",001-893-288-4855x487,Yearly,2026-02-15,2026-04-05,Cardio,44.0,266.0,485,7.3,Yes
GYM100071,Whitney Peters,29.0,Male,"122 Christopher Points Suite 593, New Justinfurt, IL 27858",+1-241-936-7663x22988,Quarterly,2024-04-03,2026-05-11,Yoga,64.0,483.0,5358,7.1,No
GYM100072,Brittney Phillips,44.0,Male,"5144 Fitzpatrick Points, Georgeview, DE 05577",001-721-342-1293x95613,Quarterly,2023-07-22,2026-04-27,Yoga,51.0,397.0,6867,6.0,No
GYM100073,Lauren Daniels,44.0,Male,"4621 Stephanie Bypass Apt. 674, Williehaven, CA 46894",(424)567-9619x4216,Monthly,2025-09-05,2026-04-21,HIIT,87.0,630.0,19058,12.7,No
GYM100074,Amy Silva,24.0,Male,"7831 Nicolas Trail Suite 187, Lawrencemouth, PA 18111",432.712.4935x759,Monthly,2023-07-01,2026-04-27,Weightlifting,76.0,406.0,66641,19.9,Yes
GYM100075,Sarah Moore,40.0,Male,"967 Brandon Inlet, Foxburgh, AZ 13548",982-300-1776x24190,Monthly,2025-01-30,2026-06-04,Cardio,97.0,780.0,10206,21.9,No
GYM100076,Angela Lopez,48.0,Other,"47946 Curtis Viaduct Apt. 835, South Jonathonfurt, LA 51862",001-931-772-6791x200,Quarterly,2024-12-13,2026-06-09,HIIT,92.0,543.0,38369,17.1,No
GYM100077,Megan Young,43.0,Female,"34853 Perez Dam Suite 167, East Davidville, IA 07551",579.766.7931,Yearly,2025-12-29,2026-04-30,CrossFit,,583.0,8282,16.9,No
GYM100078,Steve Sanchez,26.0,Female,"1302 Scott Ferry, Matthewport, OR 17680",658.525.7818,Monthly,2024-08-26,2026-05-22,Cardio,85.0,798.0,4168,7.7,No
GYM100079,Lisa Barnes,30.0,Male,"7496 Angel Route, North Ryanchester, AZ 43746",001-957-980-6684x557,Monthly,2024-02-07,2026-04-23,Weightlifting,90.0,400.0,45700,13.0,No
GYM100080,Kelly Donovan,20.0,Female,"225 Hale Glens, Michaelshire, NJ 23106",949-680-5362x986,Monthly,2025-04-13,2025-12-22,HIIT,72.0,549.0,7969,4.3,Yes
GYM100081,Mike Allen,29.0,Female,"038 Young Station Suite 378, Lindseyshire, CT 65480",001-256-460-8670x55004,Quarterly,2025-06-18,2026-04-14,Swimming,77.0,461.0,4140,21.3,No
GYM100082,Michael Evans,31.0,Male,"0706 Watson Canyon Apt. 017, Port Veronicamouth, LA 77911",861-378-2560x99241,Monthly,2023-10-17,2026-04-28,CrossFit,77.0,437.0,77633,17.3,No
GYM100083,Paul Jones,33.0,Male,"065 Mccoy Extension, Brownside, HI 38123",684-345-8566,Monthly,2023-06-25,2026-05-05,CrossFit,58.0,582.0,32285,11.9,No
GYM100084,Zachary Ferrell,38.0,Male,"98888 Thompson Springs, Richardland, NM 25695",609-756-1018x710,Yearly,2024-05-09,2026-05-30,Weightlifting,64.0,502.0,43925,18.0,No
GYM100085,Daniel Baker,35.0,Male,"340 Thomas Crest, East Damon, MH 41431",(850)208-9140,Monthly,2025-05-14,2026-01-11,CrossFit,61.0,325.0,7860,8.4,Yes
GYM100086,Shirley Suarez,30.0,Female,"3404 Robert Forge, Lake Stephenmouth, NV 85337",967-562-1992x491,Quarterly,2024-08-12,2026-05-15,Weightlifting,69.0,381.0,32052,10.7,No
GYM100087,Christopher Bass,16.0,Female,"0662 April Port Suite 363, Lopezmouth, OR 29935",717.800.1183,Yearly,2023-12-24,2026-04-20,Cardio,54.0,313.0,8738,11.6,No
GYM100088,Lisa Archer,33.0,Male,"6846 Michael Groves Suite 238, Thomasland, ND 49965",661.581.4910x62565,Monthly,2023-07-29,2025-12-14,Weightlifting,71.0,702.0,26316,8.7,Yes
GYM100089,Aimee Montoya,48.0,Female,"82061 English Estate Apt. 720, West Taylor, WY 06649",(278)582-5633x35405,Quarterly,2025-03-16,2026-06-03,Weightlifting,71.0,621.0,13605,7.0,No
GYM100090,Matthew Mcmillan,44.0,Female,"44133 English Crossing Apt. 064, Lisafurt, MD 34625",001-495-891-2704x25108,Quarterly,2025-09-20,2026-05-05,HIIT,75.0,683.0,10575,10.8,No
GYM100091,Brian Rodriguez,16.0,Male,"4173 Michael Manor, North Donaldbury, WV 97377",001-270-720-8828,Quarterly,2023-08-15,2026-04-25,Cardio,81.0,731.0,26149,16.8,No
GYM100092,Denise Jacobs,31.0,Female,"20486 Courtney Dam, Ashleyberg, GA 34296",252.594.3279x131,Quarterly,2023-09-11,2026-04-19,Cardio,75.0,573.0,14092,18.4,No
GYM100093,Christina Walters,31.0,Female,"791 Carter Plaza Suite 127, Jacobborough, OH 24360",(441)590-7046x953,Quarterly,2024-04-18,2026-05-20,Cardio,44.0,403.0,3184,6.2,No
GYM100094,John Whitehead,38.0,Male,"886 Tracy Shore Suite 922, Hensleyhaven, WA 34556",(293)535-7810x485,Monthly,2024-05-16,2026-02-08,Cardio,55.0,356.0,23,0.0,Yes
GYM100095,Anna Henderson,30.0,Female,"729 Castillo Centers Suite 400, Michaelfurt, TN 87931",722-257-7965x9679,Quarterly,2026-02-10,2026-02-13,Cardio,78.0,530.0,488,5.0,Yes
GYM100096,Aaron Wise,56.0,Male,"816 Ray Grove, Youngfurt, MI 87217",3399699109,Quarterly,2024-09-18,2026-04-16,HIIT,96.0,710.0,33406,18.1,No
GYM100097,Deborah Figueroa,33.0,Female,"55131 Renee Crossroad, South Antonio, ID 93414",001-871-942-8519x16314,Quarterly,2025-08-18,2026-01-28,HIIT,50.0,329.0,15043,9.2,Yes
GYM100098,Jessica Smith,16.0,Female,"PSC 2489, Box 4836, APO AE 27642",+1-913-597-0871x542,Yearly,2026-05-22,2026-05-23,Cardio,92.0,458.0,44,3.9,No
GYM100099,Stephen Mckee,43.0,Male,"097 Katie Light Apt. 507, Port James, MO 11966",4144784538,Quarterly,2025-06-21,2026-05-20,Weightlifting,70.0,404.0,11944,9.9,No
GYM100100,Sandra Aguilar,40.0,Female,"6594 Cox Parkway Apt. 642, South Josephburgh, GU 22218",(234)400-1195,Monthly,2025-03-14,2026-05-28,Cardio,54.0,567.0,7785,14.5,No
GYM100101,Cameron Parker,27.0,Male,"25423 Garza Locks Apt. 847, Peterview, OK 09127",(394)786-1331x61808,Yearly,2023-08-18,2026-05-16,Yoga,71.0,439.0,5966,6.9,No
GYM100102,Rebecca Valencia,34.0,Male,"7393 Fisher Field, South Andrewmouth, MD 77469",001-827-538-2476x26657,Yearly,2024-08-05,2026-04-30,Weightlifting,84.0,378.0,36727,16.2,No
GYM100103,Christine Wright,39.0,Male,"670 Wheeler Highway, New Samantha, OH 04943",424.802.8890,Monthly,2024-05-03,2026-04-05,Weightlifting,54.0,393.0,107,0.0,Yes
GYM100104,Richard Henson,21.0,Male,"USCGC Davis, FPO AA 09664",690-902-8816,Quarterly,2025-08-26,2025-12-18,Weightlifting,72.0,428.0,5469,6.0,Yes
GYM100105,Marc Moore,41.0,Male,"72030 Bishop Centers Suite 302, Martinezfurt, OK 80444",(329)579-7916x295,Yearly,2026-04-03,2026-05-04,Cardio,56.0,372.0,29,5.2,No
GYM100106,Sharon Cherry,31.0,Male,"09932 Goodman Ports Suite 455, Brownland, TN 36870",(200)430-1750x5605,Quarterly,2026-02-21,2026-06-08,Cardio,83.0,557.0,1264,13.5,No
GYM100107,Sierra Johnson,22.0,Female,"Unit 1641 Box 5647, DPO AE 54642",694-644-8785x16920,Monthly,2025-11-01,2026-02-26,HIIT,50.0,418.0,5857,5.7,Yes
GYM100108,Evelyn Galvan,36.0,Female,"51667 Hawkins Divide, East Angelashire, MP 47769",001-999-962-4526,Yearly,2025-02-13,2026-05-24,HIIT,75.0,453.0,21697,8.2,No
GYM100109,Sharon Cochran,24.0,Male,"853 Amanda Mount Suite 221, East Dustin, AL 74177",8964433535,Monthly,2025-01-21,2026-04-16,Pilates,64.0,496.0,7958,11.1,Yes
GYM100110,Richard Rodriguez,51.0,Female,"404 Moore Knolls Apt. 012, Port Matthewberg, GA 22314",6407764521,Quarterly,2025-04-16,2026-04-26,HIIT,46.0,318.0,19073,14.9,No
GYM100111,Shannon Walker,38.0,Female,"61395 Mark Mission Apt. 289, Wrightport, AR 45460",+1-332-552-5305,Quarterly,2023-11-26,2026-04-24,HIIT,57.0,358.0,41068,11.2,No
GYM100112,Julia Torres,44.0,Female,"8764 Jonathan Isle Apt. 986, East Jason, OR 95377",234.259.0225,Yearly,2024-11-05,2026-06-09,HIIT,58.0,447.0,40002,11.9,No
GYM100113,Crystal Johnson,16.0,Female,"7849 Deborah Ferry Apt. 925, Lake Michaelbury, UT 85352",631.344.4765x2366,Monthly,2024-07-03,2026-05-30,Pilates,83.0,504.0,8783,12.9,No
GYM100114,Garrett Lin,35.0,Male,"48501 Baker Burg, Garychester, ID 55474",411.861.6650x03605,Monthly,2025-03-13,2026-04-14,Pilates,72.0,609.0,5037,24.3,No
GYM100115,Diana May,50.0,Male,"810 Melanie Park, Taylorhaven, MO 04153",(643)533-9301,Yearly,2024-09-19,2026-05-26,Cardio,84.0,397.0,2795,11.3,No
GYM100116,William Herrera,20.0,Female,"6980 Jackson Park, New Andrew, MA 21248",+1-520-867-4555,Monthly,2024-10-28,2026-05-05,Weightlifting,78.0,648.0,47470,17.0,Yes
GYM100117,Ashley Waller,48.0,Male,"852 John Ports Suite 949, South Phillipberg, ND 73772",9252003412,Quarterly,2023-09-16,2026-05-06,Pilates,47.0,251.0,15292,7.3,No
GYM100118,Victor Baker,26.0,Female,"USNV Cuevas, FPO AE 03876",(951)693-8843x9464,Monthly,2024-10-23,2026-05-19,CrossFit,91.0,884.0,39658,15.3,No
GYM100119,Jeffrey Chandler,32.0,Female,"40675 Horn Ports Suite 823, New Destinytown, CO 40815",377-638-5553,Monthly,2024-04-18,2026-05-19,Cardio,41.0,302.0,0,8.4,No
GYM100120,Larry Dixon,24.0,Female,"1026 Williams Loaf, Kennethland, FM 62951",+1-602-316-0951,Monthly,2023-10-10,2026-04-22,Swimming,87.0,720.0,16068,11.8,No
GYM100121,Kenneth Scott,41.0,Female,"25442 Michael Alley Apt. 864, Port Leslie, GU 70860",699-222-2982x4998,Quarterly,2026-03-04,2026-05-27,Yoga,66.0,523.0,2517,15.1,No
GYM100122,April Frost,38.0,Male,"71206 Saunders Land, Caseychester, WI 52855",(774)929-1247,Monthly,2024-09-30,2026-05-11,Swimming,78.0,561.0,9848,14.2,No
GYM100123,Michelle Harmon,42.0,Male,"8212 Bradley Plains, Cartershire, DE 97481",287-539-2969x18085,Monthly,2026-02-24,2026-05-15,HIIT,49.0,367.0,2555,3.8,Yes
GYM100124,Helen Jones,19.0,Male,"509 Michelle Prairie Suite 200, East Kyle, WI 82971",640.805.7839x85965,Yearly,2024-02-23,2026-05-22,Weightlifting,73.0,611.0,53675,17.0,No
GYM100125,Erin Edwards,46.0,Other,"8903 Hodge Street Apt. 884, Carolland, WA 73164",655.501.9792x1356,Yearly,2023-12-29,2026-05-22,Yoga,102.0,870.0,13602,20.2,No
GYM100126,Michelle Evans,22.0,Male,"632 Karla Trafficway, Aaronfurt, IL 48172",881-239-0541x470,Quarterly,2024-02-24,2026-04-16,Pilates,63.0,,3441,3.9,Yes
GYM100127,Jason Powell,43.0,Male,"83794 Bentley Radial, Port Jenniferton, KS 26577",982.786.4684x8085,Yearly,2024-03-22,2026-05-20,Cycling,54.0,301.0,3515,3.4,No
GYM100128,Cameron Fisher,48.0,Male,"PSC 6220, Box 0658, APO AE 80244",878.236.1886x6583,Monthly,2025-01-07,2026-05-06,Pilates,61.0,559.0,7945,13.4,No
GYM100129,Megan Orr,28.0,Male,"9607 Alexandra Views, South Katherine, PA 03964",001-513-460-2161x4660,Monthly,2025-10-01,2026-03-21,Weightlifting,58.0,365.0,7656,5.9,Yes
GYM100130,Elizabeth Kelley,37.0,Male,"USCGC Ross, FPO AA 22339",+1-594-942-2094x377,Yearly,2025-01-06,2026-03-27,Yoga,61.0,495.0,2214,6.9,Yes
GYM100131,Dustin Jordan,32.0,Female,"048 Thomas Plains, Lake Megan, NH 61717",657-613-0914x343,Monthly,2024-10-30,2026-04-28,Pilates,35.0,80.0,4192,6.9,No
GYM100132,Mary Marshall,16.0,Other,"794 Samantha Shoal Suite 586, New Nathan, IN 96639",612-452-1953,Monthly,2025-02-12,2026-04-16,Swimming,51.0,368.0,5085,9.0,No
GYM100133,Daniel Kennedy,45.0,Female,"0601 Watson Spur, Nancyberg, PA 83869",001-661-709-0179,Monthly,2024-11-17,2026-04-19,Cardio,82.0,658.0,2817,15.4,No
GYM100134,Rebecca Jackson,30.0,Female,"578 Levi Glens, South Jonathanshire, NY 69843",910.869.7055,Monthly,2024-10-02,2026-04-25,Cardio,74.0,461.0,8390,18.9,No
GYM100135,Jose Schultz,,Male,"81118 Davis Knolls Apt. 496, South Alexanderburgh, AZ 14278",(535)354-7446x65199,Quarterly,2024-10-25,2026-04-28,Yoga,101.0,743.0,9462,18.9,No
GYM100136,Robert Potter,48.0,Female,"3823 Holly Alley Suite 408, Adamsberg, IN 37488",+1-840-914-1841x80368,Monthly,2026-04-01,2026-04-02,Weightlifting,67.0,323.0,121,0.0,Yes
